Id_es,Id_en
bufr4/3/12/001/1/301043,bufr4/3/12/001/1/301043
bufr4/3/12/001/2/304001,bufr4/3/12/001/2/304001
bufr4/3/12/002/1/301043,bufr4/3/12/002/1/301043
bufr4/3/12/002/2/304002,bufr4/3/12/002/2/304002
bufr4/3/12/003/1/301042,bufr4/3/12/003/1/301042
bufr4/3/12/003/2/304003,bufr4/3/12/003/2/304003
bufr4/3/12/004/1/301042,bufr4/3/12/004/1/301042
bufr4/3/12/004/2/304004,bufr4/3/12/004/2/304004
bufr4/3/12/005/1/301042,bufr4/3/12/005/1/301042
bufr4/3/12/005/2/020014,bufr4/3/12/005/2/020014
bufr4/3/12/006/1/301044,bufr4/3/12/006/1/301044
bufr4/3/12/006/2/304005,bufr4/3/12/006/2/304005
bufr4/3/12/007/1/301042,bufr4/3/12/007/1/301042
bufr4/3/12/007/2/304006,bufr4/3/12/007/2/304006
bufr4/3/12/010/1/001007,bufr4/3/12/010/1/001007
bufr4/3/12/010/2/005040,bufr4/3/12/010/2/005040
bufr4/3/12/010/3/002021,bufr4/3/12/010/3/002021
bufr4/3/12/010/4/005041,bufr4/3/12/010/4/005041
bufr4/3/12/010/5/004001,bufr4/3/12/010/5/004001
bufr4/3/12/010/6/004043,bufr4/3/12/010/6/004043
bufr4/3/12/011/1/202131,bufr4/3/12/011/1/202131
bufr4/3/12/011/2/201149,bufr4/3/12/011/2/201149
bufr4/3/12/011/3/004006,bufr4/3/12/011/3/004006
bufr4/3/12/011/4/201000,bufr4/3/12/011/4/201000
bufr4/3/12/011/5/202126,bufr4/3/12/011/5/202126
bufr4/3/12/011/6/010002,bufr4/3/12/011/6/010002
bufr4/3/12/011/7/202000,bufr4/3/12/011/7/202000
bufr4/3/12/011/8/005043,bufr4/3/12/011/8/005043
bufr4/3/12/011/9/005053,bufr4/3/12/011/9/005053
bufr4/3/12/012/1/202129,bufr4/3/12/012/1/202129
bufr4/3/12/012/2/201132,bufr4/3/12/012/2/201132
bufr4/3/12/012/3/101019,bufr4/3/12/012/3/101019
bufr4/3/12/012/4/012063,bufr4/3/12/012/4/012063
bufr4/3/12/012/5/201000,bufr4/3/12/012/5/201000
bufr4/3/12/012/6/202000,bufr4/3/12/012/6/202000
bufr4/3/12/013/1/005042,bufr4/3/12/013/1/005042
bufr4/3/12/013/2/202129,bufr4/3/12/013/2/202129
bufr4/3/12/013/3/201135,bufr4/3/12/013/3/201135
bufr4/3/12/013/4/012063,bufr4/3/12/013/4/012063
bufr4/3/12/013/5/201000,bufr4/3/12/013/5/201000
bufr4/3/12/013/6/202000,bufr4/3/12/013/6/202000
bufr4/3/12/014/1/312010,bufr4/3/12/014/1/312010
bufr4/3/12/014/2/312011,bufr4/3/12/014/2/312011
bufr4/3/12/014/3/105056,bufr4/3/12/014/3/105056
bufr4/3/12/014/4/301023,bufr4/3/12/014/4/301023
bufr4/3/12/014/5/005042,bufr4/3/12/014/5/005042
bufr4/3/12/014/6/005052,bufr4/3/12/014/6/005052
bufr4/3/12/014/7/312012,bufr4/3/12/014/7/312012
bufr4/3/12/014/8/312013,bufr4/3/12/014/8/312013
bufr4/3/12/015/1/109011,bufr4/3/12/015/1/109011
bufr4/3/12/015/2/301023,bufr4/3/12/015/2/301023
bufr4/3/12/015/3/005042,bufr4/3/12/015/3/005042
bufr4/3/12/015/4/005052,bufr4/3/12/015/4/005052
bufr4/3/12/015/5/202129,bufr4/3/12/015/5/202129
bufr4/3/12/015/6/201132,bufr4/3/12/015/6/201132
bufr4/3/12/015/7/101004,bufr4/3/12/015/7/101004
bufr4/3/12/015/8/012063,bufr4/3/12/015/8/012063
bufr4/3/12/015/9/202000,bufr4/3/12/015/9/202000
bufr4/3/12/015/10/201000,bufr4/3/12/015/10/201000
bufr4/3/12/016/1/312010,bufr4/3/12/016/1/312010
bufr4/3/12/016/2/312011,bufr4/3/12/016/2/312011
bufr4/3/12/016/3/312015,bufr4/3/12/016/3/312015
bufr4/3/12/017/1/109008,bufr4/3/12/017/1/109008
bufr4/3/12/017/2/301023,bufr4/3/12/017/2/301023
bufr4/3/12/017/3/005042,bufr4/3/12/017/3/005042
bufr4/3/12/017/4/005052,bufr4/3/12/017/4/005052
bufr4/3/12/017/5/202129,bufr4/3/12/017/5/202129
bufr4/3/12/017/6/201132,bufr4/3/12/017/6/201132
bufr4/3/12/017/7/101003,bufr4/3/12/017/7/101003
bufr4/3/12/017/8/012063,bufr4/3/12/017/8/012063
bufr4/3/12/017/9/202000,bufr4/3/12/017/9/202000
bufr4/3/12/017/10/201000,bufr4/3/12/017/10/201000
bufr4/3/12/018/1/312010,bufr4/3/12/018/1/312010
bufr4/3/12/018/2/312011,bufr4/3/12/018/2/312011
bufr4/3/12/018/3/312017,bufr4/3/12/018/3/312017
bufr4/3/12/019/1/301047,bufr4/3/12/019/1/301047
bufr4/3/12/019/2/301048,bufr4/3/12/019/2/301048
bufr4/3/12/019/3/015015,bufr4/3/12/019/3/015015
bufr4/3/12/019/4/029002,bufr4/3/12/019/4/029002
bufr4/3/12/019/5/021076,bufr4/3/12/019/5/021076
bufr4/3/12/019/6/106012,bufr4/3/12/019/6/106012
bufr4/3/12/019/7/201129,bufr4/3/12/019/7/201129
bufr4/3/12/019/8/006030,bufr4/3/12/019/8/006030
bufr4/3/12/019/9/201000,bufr4/3/12/019/9/201000
bufr4/3/12/019/10/102012,bufr4/3/12/019/10/102012
bufr4/3/12/019/11/005030,bufr4/3/12/019/11/005030
bufr4/3/12/019/12/021075,bufr4/3/12/019/12/021075
bufr4/3/12/019/13/021066,bufr4/3/12/019/13/021066
