Id_es,Id_en
bufr4/3/07/001/1/301031,bufr4/3/07/001/1/301031
bufr4/3/07/001/2/302011,bufr4/3/07/001/2/302011
bufr4/3/07/002/1/301032,bufr4/3/07/002/1/301032
bufr4/3/07/002/2/302011,bufr4/3/07/002/2/302011
bufr4/3/07/003/1/307001,bufr4/3/07/003/1/307001
bufr4/3/07/003/2/101000,bufr4/3/07/003/2/101000
bufr4/3/07/003/3/031001,bufr4/3/07/003/3/031001
bufr4/3/07/003/4/302005,bufr4/3/07/003/4/302005
bufr4/3/07/004/1/307002,bufr4/3/07/004/1/307002
bufr4/3/07/004/2/101000,bufr4/3/07/004/2/101000
bufr4/3/07/004/3/031001,bufr4/3/07/004/3/031001
bufr4/3/07/004/4/302005,bufr4/3/07/004/4/302005
bufr4/3/07/005/1/307001,bufr4/3/07/005/1/307001
bufr4/3/07/005/2/101004,bufr4/3/07/005/2/101004
bufr4/3/07/005/3/302005,bufr4/3/07/005/3/302005
bufr4/3/07/006/1/307002,bufr4/3/07/006/1/307002
bufr4/3/07/006/2/101004,bufr4/3/07/006/2/101004
bufr4/3/07/006/3/302005,bufr4/3/07/006/3/302005
bufr4/3/07/007/1/301031,bufr4/3/07/007/1/301031
bufr4/3/07/007/2/302012,bufr4/3/07/007/2/302012
bufr4/3/07/008/1/301032,bufr4/3/07/008/1/301032
bufr4/3/07/008/2/302012,bufr4/3/07/008/2/302012
bufr4/3/07/009/1/301031,bufr4/3/07/009/1/301031
bufr4/3/07/009/2/302013,bufr4/3/07/009/2/302013
bufr4/3/07/011/1/001063,bufr4/3/07/011/1/001063
bufr4/3/07/011/2/002001,bufr4/3/07/011/2/002001
bufr4/3/07/011/3/301011,bufr4/3/07/011/3/301011
bufr4/3/07/011/4/301012,bufr4/3/07/011/4/301012
bufr4/3/07/011/5/301024,bufr4/3/07/011/5/301024
bufr4/3/07/011/6/007006,bufr4/3/07/011/6/007006
bufr4/3/07/011/7/011001,bufr4/3/07/011/7/011001
bufr4/3/07/011/8/011016,bufr4/3/07/011/8/011016
bufr4/3/07/011/9/011017,bufr4/3/07/011/9/011017
bufr4/3/07/011/10/011002,bufr4/3/07/011/10/011002
bufr4/3/07/011/11/011041,bufr4/3/07/011/11/011041
bufr4/3/07/011/12/007006,bufr4/3/07/011/12/007006
bufr4/3/07/011/13/012001,bufr4/3/07/011/13/012001
bufr4/3/07/011/14/012003,bufr4/3/07/011/14/012003
bufr4/3/07/011/15/010052,bufr4/3/07/011/15/010052
bufr4/3/07/011/16/020009,bufr4/3/07/011/16/020009
bufr4/3/07/012/1/103000,bufr4/3/07/012/1/103000
bufr4/3/07/012/2/031001,bufr4/3/07/012/2/031001
bufr4/3/07/012/3/008023,bufr4/3/07/012/3/008023
bufr4/3/07/012/4/005021,bufr4/3/07/012/4/005021
bufr4/3/07/012/5/020001,bufr4/3/07/012/5/020001
bufr4/3/07/013/1/106000,bufr4/3/07/013/1/106000
bufr4/3/07/013/2/031001,bufr4/3/07/013/2/031001
bufr4/3/07/013/3/001064,bufr4/3/07/013/3/001064
bufr4/3/07/013/4/008014,bufr4/3/07/013/4/008014
bufr4/3/07/013/5/020061,bufr4/3/07/013/5/020061
bufr4/3/07/013/6/008014,bufr4/3/07/013/6/008014
bufr4/3/07/013/7/020061,bufr4/3/07/013/7/020061
bufr4/3/07/013/8/020018,bufr4/3/07/013/8/020018
bufr4/3/07/014/1/101000,bufr4/3/07/014/1/101000
bufr4/3/07/014/2/031001,bufr4/3/07/014/2/031001
bufr4/3/07/014/3/020019,bufr4/3/07/014/3/020019
bufr4/3/07/015/1/101000,bufr4/3/07/015/1/101000
bufr4/3/07/015/2/031001,bufr4/3/07/015/2/031001
bufr4/3/07/015/3/302005,bufr4/3/07/015/3/302005
bufr4/3/07/015/4/020002,bufr4/3/07/015/4/020002
bufr4/3/07/016/1/101000,bufr4/3/07/016/1/101000
bufr4/3/07/016/2/031001,bufr4/3/07/016/2/031001
