Id_es,Id_en
bufr4/3/04/001/1/008003,bufr4/3/04/001/1/008003
bufr4/3/04/001/2/010004,bufr4/3/04/001/2/010004
bufr4/3/04/001/3/012001,bufr4/3/04/001/3/012001
bufr4/3/04/001/4/011001,bufr4/3/04/001/4/011001
bufr4/3/04/001/5/011002,bufr4/3/04/001/5/011002
bufr4/3/04/002/1/008003,bufr4/3/04/002/1/008003
bufr4/3/04/002/2/010004,bufr4/3/04/002/2/010004
bufr4/3/04/002/3/011001,bufr4/3/04/002/3/011001
bufr4/3/04/002/4/011002,bufr4/3/04/002/4/011002
bufr4/3/04/003/1/008003,bufr4/3/04/003/1/008003
bufr4/3/04/003/2/012001,bufr4/3/04/003/2/012001
bufr4/3/04/004/1/008003,bufr4/3/04/004/1/008003
bufr4/3/04/004/2/010004,bufr4/3/04/004/2/010004
bufr4/3/04/004/3/020010,bufr4/3/04/004/3/020010
bufr4/3/04/004/4/012001,bufr4/3/04/004/4/012001
bufr4/3/04/005/1/002024,bufr4/3/04/005/1/002024
bufr4/3/04/005/4/013003,bufr4/3/04/005/2/007004
bufr4/3/04/006/1/014001,bufr4/3/04/005/3/007004
bufr4/3/04/006/2/014001,bufr4/3/04/005/4/013003
bufr4/3/04/006/3/014003,bufr4/3/04/006/1/014001
bufr4/3/04/011/1/002163,bufr4/3/04/006/2/014001
bufr4/3/04/011/2/002164,bufr4/3/04/006/3/014003
bufr4/3/04/011/3/008012,bufr4/3/04/011/1/002163
bufr4/3/04/011/4/007024,bufr4/3/04/011/2/002164
bufr4/3/04/011/5/002057,bufr4/3/04/011/3/008012
bufr4/3/04/011/6/008021,bufr4/3/04/011/4/007024
bufr4/3/04/011/7/004001,bufr4/3/04/011/5/002057
bufr4/3/04/011/8/004002,bufr4/3/04/011/6/008021
bufr4/3/04/011/9/004003,bufr4/3/04/011/7/004001
bufr4/3/04/011/10/004004,bufr4/3/04/011/8/004002
bufr4/3/04/011/11/008021,bufr4/3/04/011/9/004003
bufr4/3/04/011/12/004024,bufr4/3/04/011/10/004004
bufr4/3/04/011/13/110004,bufr4/3/04/011/11/008021
bufr4/3/04/011/14/008021,bufr4/3/04/011/12/004024
bufr4/3/04/011/15/004004,bufr4/3/04/011/13/110004
bufr4/3/04/011/16/004005,bufr4/3/04/011/14/008021
bufr4/3/04/011/17/004006,bufr4/3/04/011/15/004004
bufr4/3/04/011/18/008021,bufr4/3/04/011/16/004005
