Id_es,Id_en
bufr4/3/06/001/1/002032,bufr4/3/06/001/1/002032
bufr4/3/06/001/2/102000,bufr4/3/06/001/2/102000
bufr4/3/06/001/3/031001,bufr4/3/06/001/3/031001
bufr4/3/06/001/4/007062,bufr4/3/06/001/4/007062
bufr4/3/06/001/5/022042,bufr4/3/06/001/5/022042
bufr4/3/06/002/1/002031,bufr4/3/06/002/1/002031
bufr4/3/06/002/2/022004,bufr4/3/06/002/2/022004
bufr4/3/06/002/3/022031,bufr4/3/06/002/3/022031
bufr4/3/06/003/1/002002,bufr4/3/06/003/1/002002
bufr4/3/06/003/2/011011,bufr4/3/06/003/2/011011
bufr4/3/06/003/3/011012,bufr4/3/06/003/3/011012
bufr4/3/06/003/4/012004,bufr4/3/06/003/4/012004
bufr4/3/06/004/1/002032,bufr4/3/06/004/1/002032
bufr4/3/06/004/2/002033,bufr4/3/06/004/2/002033
bufr4/3/06/004/3/103000,bufr4/3/06/004/3/103000
bufr4/3/06/004/4/031001,bufr4/3/06/004/4/031001
bufr4/3/06/004/5/007062,bufr4/3/06/004/5/007062
bufr4/3/06/004/6/022043,bufr4/3/06/004/6/022043
bufr4/3/06/004/7/022062,bufr4/3/06/004/7/022062
bufr4/3/06/005/1/002031,bufr4/3/06/005/1/002031
bufr4/3/06/005/2/103000,bufr4/3/06/005/2/103000
bufr4/3/06/005/3/031001,bufr4/3/06/005/3/031001
bufr4/3/06/005/4/007062,bufr4/3/06/005/4/007062
bufr4/3/06/005/5/022004,bufr4/3/06/005/5/022004
bufr4/3/06/005/6/022031,bufr4/3/06/005/6/022031
bufr4/3/06/006/1/306003,bufr4/3/06/006/1/306003
bufr4/3/06/006/2/306002,bufr4/3/06/006/2/306002
bufr4/3/06/006/3/022063,bufr4/3/06/006/3/022063
bufr4/3/06/007/1/001012,bufr4/3/06/007/1/001012
bufr4/3/06/007/2/001014,bufr4/3/06/007/2/001014
bufr4/3/06/007/3/306008,bufr4/3/06/007/3/306008
bufr4/3/06/007/4/004024,bufr4/3/06/007/4/004024
bufr4/3/06/007/5/027003,bufr4/3/06/007/5/027003
bufr4/3/06/007/6/028003,bufr4/3/06/007/6/028003
bufr4/3/06/008/1/002034,bufr4/3/06/008/1/002034
bufr4/3/06/008/2/002035,bufr4/3/06/008/2/002035
bufr4/3/06/008/3/002036,bufr4/3/06/008/3/002036
bufr4/3/06/011/1/301021,bufr4/3/06/011/1/301021
bufr4/3/06/011/2/001075,bufr4/3/06/011/2/001075
bufr4/3/06/011/3/002147,bufr4/3/06/011/3/002147
bufr4/3/06/011/4/301011,bufr4/3/06/011/4/301011
bufr4/3/06/011/5/301013,bufr4/3/06/011/5/301013
bufr4/3/06/012/1/002007,bufr4/3/06/012/1/002007
bufr4/3/06/012/2/008015,bufr4/3/06/012/2/008015
bufr4/3/06/012/3/008032,bufr4/3/06/012/3/008032
bufr4/3/06/012/4/306029,bufr4/3/06/012/4/306029
bufr4/3/06/013/1/306012,bufr4/3/06/013/1/306012
bufr4/3/06/013/2/301011,bufr4/3/06/013/2/301011
bufr4/3/06/013/3/301013,bufr4/3/06/013/3/301013
bufr4/3/06/013/4/022120,bufr4/3/06/013/4/022120
bufr4/3/06/013/5/022121,bufr4/3/06/013/5/022121
bufr4/3/06/013/6/004015,bufr4/3/06/013/6/004015
bufr4/3/06/013/7/004065,bufr4/3/06/013/7/004065
bufr4/3/06/013/8/102000,bufr4/3/06/013/8/102000
bufr4/3/06/013/9/031001,bufr4/3/06/013/9/031001
bufr4/3/06/013/10/022038,bufr4/3/06/013/10/022038
bufr4/3/06/013/11/022040,bufr4/3/06/013/11/022040
bufr4/3/06/014/1/306012,bufr4/3/06/014/1/306012
bufr4/3/06/014/2/301011,bufr4/3/06/014/2/301011
bufr4/3/06/014/3/301013,bufr4/3/06/014/3/301013
bufr4/3/06/014/4/022120,bufr4/3/06/014/4/022120
bufr4/3/06/014/5/022121,bufr4/3/06/014/5/022121
bufr4/3/06/014/6/004015,bufr4/3/06/014/6/004015
bufr4/3/06/014/7/004065,bufr4/3/06/014/7/004065
bufr4/3/06/014/8/101000,bufr4/3/06/014/8/101000
bufr4/3/06/014/9/031001,bufr4/3/06/014/9/031001
bufr4/3/06/014/10/022038,bufr4/3/06/014/10/022038
bufr4/3/06/016/1/301011,bufr4/3/06/016/1/301011
bufr4/3/06/016/2/301013,bufr4/3/06/016/2/301013
bufr4/3/06/016/3/010004,bufr4/3/06/016/3/010004
bufr4/3/06/016/4/010051,bufr4/3/06/016/4/010051
bufr4/3/06/016/5/302032,bufr4/3/06/016/5/302032
bufr4/3/06/016/6/007032,bufr4/3/06/016/6/007032
bufr4/3/06/016/7/002002,bufr4/3/06/016/7/002002
bufr4/3/06/016/8/008021,bufr4/3/06/016/8/008021
bufr4/3/06/016/9/004025,bufr4/3/06/016/9/004025
bufr4/3/06/016/10/011001,bufr4/3/06/016/10/011001
bufr4/3/06/016/11/011002,bufr4/3/06/016/11/011002
bufr4/3/06/016/12/004025,bufr4/3/06/016/12/004025
bufr4/3/06/016/13/011043,bufr4/3/06/016/13/011043
bufr4/3/06/016/14/011041,bufr4/3/06/016/14/011041
bufr4/3/06/016/15/025026,bufr4/3/06/016/15/025026
bufr4/3/06/016/16/012060,bufr4/3/06/016/16/012060
bufr4/3/06/017/1/002032,bufr4/3/06/017/1/002032
bufr4/3/06/017/2/008034,bufr4/3/06/017/2/008034
bufr4/3/06/017/3/106000,bufr4/3/06/017/3/106000
bufr4/3/06/017/4/031002,bufr4/3/06/017/4/031002
bufr4/3/06/017/5/007065,bufr4/3/06/017/5/007065
bufr4/3/06/017/6/008080,bufr4/3/06/017/6/008080
bufr4/3/06/017/7/033050,bufr4/3/06/017/7/033050
bufr4/3/06/017/8/022045,bufr4/3/06/017/8/022045
bufr4/3/06/017/9/008080,bufr4/3/06/017/9/008080
bufr4/3/06/017/10/033050,bufr4/3/06/017/10/033050
bufr4/3/06/017/11/008034,bufr4/3/06/017/11/008034
bufr4/3/06/018/1/002032,bufr4/3/06/018/1/002032
bufr4/3/06/018/2/008034,bufr4/3/06/018/2/008034
bufr4/3/06/018/3/109000,bufr4/3/06/018/3/109000
bufr4/3/06/018/4/031002,bufr4/3/06/018/4/031002
bufr4/3/06/018/5/007065,bufr4/3/06/018/5/007065
bufr4/3/06/018/6/008080,bufr4/3/06/018/6/008080
bufr4/3/06/018/7/033050,bufr4/3/06/018/7/033050
bufr4/3/06/018/8/022045,bufr4/3/06/018/8/022045
bufr4/3/06/018/9/008080,bufr4/3/06/018/9/008080
bufr4/3/06/018/10/033050,bufr4/3/06/018/10/033050
bufr4/3/06/018/11/022064,bufr4/3/06/018/11/022064
bufr4/3/06/018/12/008080,bufr4/3/06/018/12/008080
bufr4/3/06/018/13/033050,bufr4/3/06/018/13/033050
bufr4/3/06/018/14/008034,bufr4/3/06/018/14/008034
bufr4/3/06/019/1/001075,bufr4/3/06/019/1/001075
