Id,FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
bufr4/0/05/069/0,005069,Averaging period for following value Code table 0 05 069,0,Mie,,,,,Operational
bufr4/0/05/069/1,005069,Averaging period for following value Code table 0 05 069,1,Rayleigh,,,,,Operational
bufr4/0/05/069/2,005069,Averaging period for following value Code table 0 05 069,2,Reserved,,,,,Operational
bufr4/0/05/069/3,005069,Averaging period for following value Code table 0 05 069,3,Missing value,,,,,Operational
