Id,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status
bufr4/0/24/001,24,Радиологические элементы в BUFR/CREX,024001,Количественная оценка выброса радиоактивности до указанного времени,Бк,-11,0,28,Бк,-11,9,,,Operational
bufr4/0/24/002,24,Радиологические элементы в BUFR/CREX,024002,Оценка максимального потенциального выброса,Бк,-11,0,28,Бк,-11,9,,,Operational
bufr4/0/24/003,24,Радиологические элементы в BUFR/CREX,024003,Состав выброса,Кодовая таблица,0,0,5,Кодовая таблица,0,2,,,Operational
bufr4/0/24/004,24,Радиологические элементы в BUFR/CREX,024004,Название элемента,МККТТ-МА5,0,0,16,Символ,0,2,,,Operational
bufr4/0/24/005,24,Радиологические элементы в BUFR/CREX,024005,Масса изотопа,Числ.,0,0,9,Числ.,0,3,,,Operational
bufr4/0/24/011,24,Радиологические элементы в BUFR/CREX,024011,Доза,мЗв*,2,0,32,мЗв*,2,10,,,Operational
bufr4/0/24/012,24,Радиологические элементы в BUFR/CREX,024012,Доза траектории (в определенном месте и в ожидаемое время прибытия),мЗв,2,0,32,мЗв,2,10,,,Operational
bufr4/0/24/013,24,Радиологические элементы в BUFR/CREX,024013,Гамма-доза в воздухе по основному маршруту переноса (определенное место и период времени),мЗв,2,0,32,мЗв,2,10,,,Operational
bufr4/0/24/014,24,Радиологические элементы в BUFR/CREX,024014,Уровень дозы гамма-излучения,-1 ⋅ нЗв час,1,0,14,-1 ⋅ нЗв час,1,4,(см. примечание 2),,Operational
bufr4/0/24/021,24,Радиологические элементы в BUFR/CREX,024021,"Концентрация в воздухе (названного типа изотопа, включая суммарную бета-дозу)",-3 ⋅ Бк м,2,0,32,-3 ⋅ Бк м,2,10,,,Operational
bufr4/0/24/022,24,Радиологические элементы в BUFR/CREX,024022,Концентрация в осадках (названного типа изотопа),-1 ⋅ Бк л,2,0,32,-1 ⋅ Бк л,2,10,,,Operational
bufr4/0/24/023,24,Радиологические элементы в BUFR/CREX,024023,Интенсивность пульсации бета радиации,-1 с,1,0,14,-1 с,1,4,,,Operational
bufr4/0/24/024,24,Радиологические элементы в BUFR/CREX,024024,Интенсивность пульсации гамма радиации -2 7–10 мЗв для концентраций и доз.,-1 с,1,0,14,-1 с,1,4,,,Operational
