Id,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status
bufr4/0/13/001,13,Гигрографические и гидрологические элементы в BUFR/CREX,013001,Удельная влажность,–1 кг·кг,5,0,14,–1 кг·кг,5,5,,,Operational
bufr4/0/13/002,13,Гигрографические и гидрологические элементы в BUFR/CREX,013002,Отношение смеси,–1 кг·кг,5,0,14,–1 кг·кг,5,5,,,Operational
bufr4/0/13/003,13,Гигрографические и гидрологические элементы в BUFR/CREX,013003,Относительная влажность,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/004,13,Гигрографические и гидрологические элементы в BUFR/CREX,013004,Давление пара,Па,-1,0,10,Па,-1,4,,,Operational
bufr4/0/13/005,13,Гигрографические и гидрологические элементы в BUFR/CREX,013005,Плотность пара,–3 кг·м,3,0,7,–3 кг·м,3,3,,,Operational
bufr4/0/13/006,13,Гигрографические и гидрологические элементы в BUFR/CREX,013006,Высота слоя перемешивания,м,-1,-40,16,м,-1,5,,,Operational
bufr4/0/13/007,13,Гигрографические и гидрологические элементы в BUFR/CREX,013007,Минимальная относительная влажность,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/008,13,Гигрографические и гидрологические элементы в BUFR/CREX,013008,Максимальная относительная влажность,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/009,13,Гигрографические и гидрологические элементы в BUFR/CREX,013009,Относительная влажность,%,1,-1000,12,%,1,4,(см. примечание 6),,Operational
bufr4/0/13/011,13,Гигрографические и гидрологические элементы в BUFR/CREX,013011,Сумма осадков/суммарный водный эквивалент,–2 кг·м,1,-1,14,–2 кг·м,1,5,,,Operational
bufr4/0/13/012,13,Гигрографические и гидрологические элементы в BUFR/CREX,013012,Высота свежевыпавшего снега,м,2,-2,12,м,2,4,,,Operational
bufr4/0/13/013,13,Гигрографические и гидрологические элементы в BUFR/CREX,013013,Суммарная высота снежного покрова,м,2,-2,16,м,2,5,,,Operational
bufr4/0/13/014,13,Гигрографические и гидрологические элементы в BUFR/CREX,013014,Дождь/эквивалент воды в снеге (средняя интенсивность),–2–1 ·с кг·м,4,0,12,–2–1 кг·м ·с,4,4,,,Operational
bufr4/0/13/015,13,Гигрографические и гидрологические элементы в BUFR/CREX,013015,Снегопад (средняя интенсивность),–1 м·с,7,0,12,–1 м·с,7,4,,,Operational
bufr4/0/13/016,13,Гигрографические и гидрологические элементы в BUFR/CREX,013016,Осаждаемая вода,–2 кг·м,0,0,7,–2 кг·м,0,3,,,Operational
bufr4/0/13/019,13,Гигрографические и гидрологические элементы в BUFR/CREX,013019,Сумма осадков за последний час,–2 кг·м,1,-1,14,–2 кг·м,1,4,,,Operational
bufr4/0/13/020,13,Гигрографические и гидрологические элементы в BUFR/CREX,013020,Сумма осадков за последние 3 часа,–2 кг·м,1,-1,14,–2 кг·м,1,5,,,Operational
bufr4/0/13/021,13,Гигрографические и гидрологические элементы в BUFR/CREX,013021,Сумма осадков за последние 6 часов,–2 кг·м,1,-1,14,–2 кг·м,1,5,,,Operational
bufr4/0/13/022,13,Гигрографические и гидрологические элементы в BUFR/CREX,013022,Сумма осадков за последние 12 часов,–2 кг·м,1,-1,14,–2 кг·м,1,5,,,Operational
bufr4/0/13/023,13,Гигрографические и гидрологические элементы в BUFR/CREX,013023,Сумма осадков за последние 24 часа,–2 кг·м,1,-1,14,–2 кг·м,1,5,,,Operational
bufr4/0/13/031,13,Гигрографические и гидрологические элементы в BUFR/CREX,013031,Суммарное испарение,–2 кг·м,0,0,7,–2 кг·м,0,3,,,Operational
bufr4/0/13/032,13,Гигрографические и гидрологические элементы в BUFR/CREX,013032,Испарение/эвапотранспирация,–2 кг·м,1,0,8,–2 кг·м,1,3,(см. примечание 5),,Operational
bufr4/0/13/033,13,Гигрографические и гидрологические элементы в BUFR/CREX,013033,Испарение/эвапотранспирация,–2 кг·м,1,0,10,–2 кг·м,1,4,,,Operational
bufr4/0/13/038,13,Гигрографические и гидрологические элементы в BUFR/CREX,013038,Сверхадиабатический указатель,Кодовая таблица,0,0,2,Кодовая таблица,0,1,,,Operational
bufr4/0/13/039,13,Гигрографические и гидрологические элементы в BUFR/CREX,013039,Тип поверхности (лед/снег),Кодовая таблица,0,0,3,Кодовая таблица,0,1,,,Operational
bufr4/0/13/040,13,Гигрографические и гидрологические элементы в BUFR/CREX,013040,Флаг поверхности,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational
bufr4/0/13/041,13,Гигрографические и гидрологические элементы в BUFR/CREX,013041,Категория стабильности Паскуилла-Гиффорда,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational
bufr4/0/13/042,13,Гигрографические и гидрологические элементы в BUFR/CREX,013042,Подъемный индекс частицы (до 500 гПа) (см. примечания 3 и 4),K,0,-20,6,K,0,2,,,Operational
bufr4/0/13/043,13,Гигрографические и гидрологические элементы в BUFR/CREX,013043,Лучший подъемный индекс (до 500 гПа) (см. примечания 3 и 4),K,0,-20,6,K,0,2,,,Operational
bufr4/0/13/044,13,Гигрографические и гидрологические элементы в BUFR/CREX,013044,Индекс K,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/045,13,Гигрографические и гидрологические элементы в BUFR/CREX,013045,Индекс KO,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/046,13,Гигрографические и гидрологические элементы в BUFR/CREX,013046,Максимальная подъемная сила,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/047,13,Гигрографические и гидрологические элементы в BUFR/CREX,013047,Измененный индекс стабильности Шоуолтера,K,0,-60,6,K,0,2,(см. примечание 7),,Operational
bufr4/0/13/048,13,Гигрографические и гидрологические элементы в BUFR/CREX,013048,Доля воды,%,1,0,10,%,1,4,,,Operational
bufr4/0/13/051,13,Гигрографические и гидрологические элементы в BUFR/CREX,013051,"Группа повторяемости, осадки",Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational
bufr4/0/13/052,13,Гигрографические и гидрологические элементы в BUFR/CREX,013052,Самое высокое суточное количество осадков,–2 кг·м,1,-1,14,–2 кг·м,1,5,,,Operational
bufr4/0/13/055,13,Гигрографические и гидрологические элементы в BUFR/CREX,013055,Интенсивность осадков,–2–1 ·с кг·м,4,0,8,–1 мм·ч,1,4,,,Operational
bufr4/0/13/056,13,Гигрографические и гидрологические элементы в BUFR/CREX,013056,Характер и интенсивность осадков,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational
bufr4/0/13/057,13,Гигрографические и гидрологические элементы в BUFR/CREX,013057,Время начала или окончания осадков,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational
bufr4/0/13/058,13,Гигрографические и гидрологические элементы в BUFR/CREX,013058,Размер элемента осадков,м,4,0,7,мм,1,3,,,Operational
bufr4/0/13/059,13,Гигрографические и гидрологические элементы в BUFR/CREX,013059,Количество вспышек (гроза),Числ.,0,0,7,Числ.,0,3,,,Operational
bufr4/0/13/060,13,Гигрографические и гидрологические элементы в BUFR/CREX,013060,Общие суммарные осадки,–2 кг·м,1,-1,17,–2 кг·м,1,5,,,Operational
bufr4/0/13/071,13,Гигрографические и гидрологические элементы в BUFR/CREX,013071,Уровень воды в верхнем течении,м,2,0,14,м,2,4,,,Operational
bufr4/0/13/072,13,Гигрографические и гидрологические элементы в BUFR/CREX,013072,Уровень воды в нижнем течении,м,2,0,14,м,2,4,,,Operational
bufr4/0/13/073,13,Гигрографические и гидрологические элементы в BUFR/CREX,013073,Максимальный уровень воды,м,2,0,14,м,2,4,,,Operational
