Id,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status
bufr4/0/13/074,13,Гигрографические и гидрологические элементы в BUFR/CREX,013074,Уровень грунтовых вод,м,2,0,18,м,2,6,,,Operational
bufr4/0/13/080,13,Гигрографические и гидрологические элементы в BUFR/CREX,013080,рH воды,Единицы pH,1,0,10,Единицы pH,1,3,,,Operational
bufr4/0/13/081,13,Гигрографические и гидрологические элементы в BUFR/CREX,013081,Проводимость воды,–1 См·м,3,0,14,–1 См·м,3,4,,,Operational
bufr4/0/13/082,13,Гигрографические и гидрологические элементы в BUFR/CREX,013082,Температура воды,К,1,0,12,K,1,4,,,Operational
bufr4/0/13/083,13,Гигрографические и гидрологические элементы в BUFR/CREX,013083,Растворенный кислород,–3 кг·м,6,0,15,–3 кг·м,6,5,,,Operational
bufr4/0/13/084,13,Гигрографические и гидрологические элементы в BUFR/CREX,013084,Мутность,лм,0,0,14,лм,0,4,,,Operational
bufr4/0/13/085,13,Гигрографические и гидрологические элементы в BUFR/CREX,013085,Окислительно–восстановительный потенциал (ОВП),B,3,0,14,B,3,4,,,Operational
bufr4/0/13/090,13,Гигрографические и гидрологические элементы в BUFR/CREX,013090,"Содержание водяного пара, определяемое посредством радиометра",–2 кг·м,0,0,7,–2 кг·м,0,3,,,Operational
bufr4/0/13/091,13,Гигрографические и гидрологические элементы в BUFR/CREX,013091,"Содержание жидкости, определяемое посредством радиометра",–2 кг·м,0,0,7,–2 кг·м,0,3,,,Operational
bufr4/0/13/093,13,Гигрографические и гидрологические элементы в BUFR/CREX,013093,Оптическая толщина облаков,Числ.,0,0,8,Числ.,0,3,,,Operational
bufr4/0/13/095,13,Гигрографические и гидрологические элементы в BUFR/CREX,013095,Общее количество водяных паров в столбе воздуха,–2 кг·м,4,0,19,–2 кг·м,4,6,,,Operational
bufr4/0/13/096,13,Гигрографические и гидрологические элементы в BUFR/CREX,013096,Содержание водяных паров по данным MWR,–2 кг·м,2,0,14,–2 кг·м,2,5,,,Operational
bufr4/0/13/097,13,Гигрографические и гидрологические элементы в BUFR/CREX,013097,Содержание жидкой воды по данным MWR,–2 кг·м,2,0,14,–2 кг·м,2,5,,,Operational
bufr4/0/13/098,13,Гигрографические и гидрологические элементы в BUFR/CREX,013098,Интегральная плотность водяных паров,–2 кг·м,8,0,30,–2 кг·м,8,10,,,Operational
bufr4/0/13/099,13,Гигрографические и гидрологические элементы в BUFR/CREX,013099,суммарной плотности частиц в облаке Log 10,–2 log(м ),1,0,7,–2 log(м ),1,3,,,Operational
bufr4/0/13/100,13,Гигрографические и гидрологические элементы в BUFR/CREX,013100,суммарной площади частиц в облаке Log 10,2–2 log(м м ),1,-70,7,2–2 log(м м ),1,2,,,Operational
bufr4/0/13/101,13,Гигрографические и гидрологические элементы в BUFR/CREX,013101,суммарного объема частиц в облаке Log 10,3–2 log(м м ),1,-140,7,3–2 log(м м ),1,3,,,Operational
bufr4/0/13/109,13,Гигрографические и гидрологические элементы в BUFR/CREX,013109,Траектория ледяных кристаллов/жидкой воды,–2 кг·м,3,0,10,–2 кг·м,3,4,,,Operational
bufr4/0/13/110,13,Гигрографические и гидрологические элементы в BUFR/CREX,013110,Соотношение компонентов смеси,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/111,13,Гигрографические и гидрологические элементы в BUFR/CREX,013111,Влажность почвы,–1 г·кг,0,0,10,–1 г·кг,0,4,,,Operational
bufr4/0/13/112,13,Гигрографические и гидрологические элементы в BUFR/CREX,013112,Продолжительность удержания влаги в объекте,с,0,0,17,с,0,5,,,Operational
bufr4/0/13/114,13,Гигрографические и гидрологические элементы в BUFR/CREX,013114,Скорость нарастания льда,–2–1 кг·м ·ч,1,0,11,–2–1 кг·м ·ч,1,4,,,Operational
bufr4/0/13/115,13,Гигрографические и гидрологические элементы в BUFR/CREX,013115,Толщина льда,м,2,0,19,м,2,6,(см. примечание 9),,Operational
bufr4/0/13/116,13,Гигрографические и гидрологические элементы в BUFR/CREX,013116,Толщина водяной пленки,м,4,0,10,м,3,2,,,Operational
bufr4/0/13/117,13,Гигрографические и гидрологические элементы в BUFR/CREX,013117,Плотность снега (содержание жидкой воды),–3 кг·м,0,0,10,–3 кг·м,0,3,,,Operational
bufr4/0/13/118,13,Гигрографические и гидрологические элементы в BUFR/CREX,013118,Высота свежевыпавшего снега (высокая точность),м,3,-2,14,м,3,5,(см. примечание 10),,Operational
bufr4/0/13/155,13,Гигрографические и гидрологические элементы в BUFR/CREX,013155,Интенсивность осадков (высокая точность)  воды),–2–1 кг·м ·с,5,-1,16,–1 мм·ч,1,5,(см. примечание 8),,Operational
bufr4/0/13/160,13,Гигрографические и гидрологические элементы в BUFR/CREX,013160,"Содержание жидкости, определяемое посредством радиометра",–2 кг·м,2,-350,10,–2 кг·м,2,3,,,Operational
bufr4/0/13/162,13,Гигрографические и гидрологические элементы в BUFR/CREX,013162,Вода в жидкой фазе в облаке,−2 кг·м,2,0,8,−2 кг·м,2,3,,,Operational
bufr4/0/13/163,13,Гигрографические и гидрологические элементы в BUFR/CREX,013163,Водный эквивалент снега,−2 кг·м,0,0,16,−2 кг·м,0,5,,,Operational
bufr4/0/13/164,13,Гигрографические и гидрологические элементы в BUFR/CREX,013164,"Надводная часть морского льда–2 до масштабирования (–1 после него или в коде CREX) должно указывать на «следы» осадков (не поддающиеся измерению, менее Международном метеорологическом словаре",м,3,−131072 (ВМО-№ 182) под термином «подъемный индекс») определяется,18,м,3,6,,,Operational
